$ eslint .
=== test spot batch fetch directly ===
1175 symbols returned:
  LAYERUSDT  price=0.06648
  HEIUSDT    price=0.1058
  DATAUSDT   price=0.27363
  SHELLUSDT  price=0.0212
  PIUSDT     price=0.0968
  BROCCOLIUSDT price=0.01289
  KAITOUSDT  price=0.6645
  BGSOLUSDT  price=89.42
  ABUSDT     price=0.000982
  ROAMUSDT   price=0.008012
  REDUSDT    price=0.1137
  BMTUSDT    price=0.012
  MUBARAKUSDT price=0.01297
  TUTUSDT    price=0.012179
  BRUSDT     price=0.1451
  FORMUSDT   price=0.2063
  NILUSDT    price=0.03479
  PARTIUSDT  price=0.03316
  BANANAS31USDT price=0.007711
  WALUSDT    price=0.03148
  GUNUSDT    price=0.004155
  PUMPBTCUSDT price=0.00951
  STOUSDT    price=0.04503
  BABYUSDT   price=0.013115
  FHEUSDT    price=0.01933
  PROMPTUSDT price=0.02143
  KERNELUSDT price=0.04022
  WCTUSDT    price=0.04447
  BANKUSDT   price=0.04245
  HYPERUSDT  price=0.0679
  ZORAUSDT   price=0.007002
  INITUSDT   price=0.05634
  DEEPUSDT   price=0.01792
  SIGNUSDT   price=0.00877
  HAEDALUSDT price=0.01661
  MYXUSDT    price=0.0737
  SYRUPUSDT  price=0.191
  SXTUSDT    price=0.00895
  DOODUSDT   price=0.001517
  SKYAIUSDT  price=0.03544
  NXPCUSDT   price=0.26113
  AWEUSDT    price=0.06242
  BUSDT      price=0.11883
  SOONUSDT   price=0.1671
  USD1USDC   price=0.9994
  USD1USDT   price=0.9997
  HUMAUSDT   price=0.02266
  DOGEUSD1   price=0.07323
  SUIUSD1    price=0.7433
  XRPUSD1    price=1.0967
  SOLUSD1    price=76.94
  ETHUSD1    price=1804.91
  BTCUSD1    price=63992.82
  AUSDT      price=0.07409
  SOPHUSDT   price=0.004765
  RLUSDUSDC  price=1.0003
  RLUSDUSDT  price=1.0006
  FLOCKUSDT  price=0.0328
  RWAUSDT    price=0.0011904
  LAUSDT     price=0.05884
  CUDISUSDT  price=0.004617
  XRPRLUSD   price=1.0941
  BTCRLUSD   price=63954.22
  ETHRLUSD   price=1802.1
  RVNUSDT    price=0.003821
  B2USDT     price=0.54272
  HOMEUSDT   price=0.014512
  RESOLVUSDT price=0.02021
  IDOLUSDT   price=0.01603
  TAGUSDT    price=0.00093736
  SPKUSDT    price=0.017138
  MGOUSDT    price=0.0100165
  DMCUSDT    price=0.0004492
  NEWTUSDT   price=0.04745
  HUSDT      price=0.0742839
  SAHARAUSDT price=0.01058
  CESSUSDT   price=0.001271
  ICNTUSDT   price=0.1565
  MUSDT      price=1.213247
  CROSSUSDT  price=0.077308
  AINUSDT    price=0.0712
  CUSDT      price=0.06668
  TACUSDT    price=0.00337
  PUMPUSDT   price=0.001404
  ESUSDT     price=0.0043
  ERAUSDT    price=0.07964
  EGL1USDT   price=0.01184
  NEROUSDT   price=0.0013116
  TREEUSDT   price=0.0446
  IKAUSDT    price=0.00244
  GAIAUSDT   price=0.005275
  RHEAUSDT   price=0.01298
  NAORISUSDT price=0.03324
